title,Monthly Rent,Floor,description,Furnishing,address,latitude,longitude,Bathrooms,Bedrooms
,"£2,975 pcm",,"This is a newly refurbished fourth floor (no lift) flat with two double bedrooms located in Great Ormond Street, Bloomsbury moments from restaurants, cafes and independent shops in Lamb's Conduit Street and transport links at Russell Square (Piccadilly Line). With neutral decor and wood floors the property comprises entrance hall with built-in storage, reception room with feature fireplace, separate contemporary fitted galley kitchen, two double bedrooms (both with fitted wardrobes) and family bathroom with shower over bath. The property is within easy reach of local colleges and universities, the areas of Holborn and Chancery Lane and shopping at The Brunswick Centre. Deposit: £3,432EPC Rating DCouncil Tax Band ELocal Authority CamdenBrochuresBrochure 1","Furnished or unfurnished, landlord is flexible","Great Ormond Street, London, WC1N",,,,
,"£2,925 pcm",,"A bright and fresh first floor apartment with private front balcony located on a gorgeous garden square in the heart of Chelsea within close proximity of Sloane Square. The property comprises a generously sized reception room with superb ceiling height, an open plan fitted kitchen and private balcony. An archway separates the living area and bedroom space and leading to a newly fitted bathroom suite and separate bedroom or study area. Markham Square is stunning location set just off the Kings Road which is Rich in history and well known for its superb choice of restaurants, shops, boutiques and galleries. The ideal location for families and professionals with a thirst for things to do. 0.4 miles from Sloane Square station with District and Circle Lines.",Unfurnished,Markham Square Chelsea SW3,,,,
,"£1,699 pcm",,"An exceptional 772 sq ft one double bedroom garden flat with off-street parking sitting proudly within Ealing's most unique development, The Church of St Stephen's which was converted in 1987.Situated at the top of The Avenue, St Stephens Church is half a mile to West Ealing Overground and future Crossrail station.BrochuresBrochure 1",Furnished,"The Avenue, Ealing",,,,
,"£1,745 pcm",,"Property Reference: 1770301.This is the most charming apartment within a small, friendly modern building. Facing a sunny, picturesque street lined with cherry blossom trees. Move-in immediately. Can come furnished or unfurnished. Pets, aside from dogs, are considered. Everything you need for life within a 15 min walk.TransportationFrom Maze Hill or Westcombe Park Station (under 10 mins walk away):London Bridge 11 minsCannon St. 15 minsCanary Wharf 20minsBlackfriars 20 minsWaterloo 25minsCharing Cross 25 minsOld Steet 28 minsLiverpool St. 30minsNorth Greenwich Jubilee Line 8 mins (bus)The ApartmentLarge outdoor space balcony. Built-in appliancesHigh spec, modern finish interiorLift-in building and CCTV security***No dishwasher or dryer******No Parking***The LocationSurrounded by nature with Greenwich Park and Greenwich Village on your doorstep, Blackheath Village and O2 Arena are within walking distance or short bus ridesSafe, leafy, quiet and tranquil neighbourhood with a village feelRetailSainsbury's supermarket, coffee shops, deli and independent stores on your doorstepGreenwich Centre - gym, pool next doorExtrasNo agent, no fees! Rent directly with LandlordNot available anywhere elseFriendly landlords and the absolute best neighbours! Very strong communityWe are a small building and look after each other, which makes us unique compared to high-rises in the areaIf you're looking for a place that can become a real home, and not just another rental property in one of London's most desirable areas - look no further.Summary & Exclusions:- Rent Amount: £1,745.00 per month (£402.69 per week)- Deposit / Bond: £1,745.00- 1 Bedrooms- 1 Bathrooms- Property comes furnished or unfurnished (tenant can decide)- Available to move in from 25 July, 2023- Minimum tenancy term is 6 months- Maximum number of tenants is 2- Students welcome to enquire- Pets considered / by arrangement- Smokers considered- Family Friendly- Bills not included- No Parking Available- No Garden Access- EPC Rating: C  If calling, please quote reference: 1770301  Fees:You will not be charged any admin fees. ** Contact today to book a viewing and have the landlord show you round! ** Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.","Furnished or unfurnished, landlord is flexible","Illustrious House, London, SE10",,,,
,"£3,350 pcm",,"Statuum are delighted to offer this amazing 4 bed maisonette with kitchen diner, front and rear garden located off vibrant Roman Road Market, Bow E3 area: available NOW  suitable for students or working sharers. Only 15 Minutes away from Queen Mary University Campus and Victoria Park.This wonderful Maisonette laid over two floors consisting of a kitchen diner (NO RECEPTION), 3 large double bedroom, 1 small double bedroom, bathroom suite, additional WC, and with access to a large private regar garden and front garden. Throughout newly painted and decorated, newly installed shower, gas central heating and laminated wood flooring.Available NOW suitable students or working sharersRent £ 3,350.00 PCMDeposit £ 3,865.38Council Tax Band: Tower Hamlets CEPC Ratings: 73/CGas & Electricity: TBC",Part furnished,"Vernon Road, Roman Road, Bow, London, E3",,,,
,"£2,323 pcm",,"Nova Haus London are excited to present this recently decorated stylish one bedroom garden flat located on a quiet tree-lined road set within an imposing end of terrace Victorian property. The moment you walk into this beautiful home through its own private entrance you are greeted with a light and airy hallway, the principal bedroom is set at the front which is filled with natural light through a circular feature bay window. The separate kitchen also set at the front has fully fitted integrated appliances and tiled floor. As the hallway continues it leads you to the family bathroom which has mosaic tiles and has been recently decorated. A study/snug has been arranged in the hallway which provides a great place to work from or further storage if needed. The large reception room is set at the back of the property leading out onto a private patio garden providing an excellent entertaining space. The private east facing patio garden is filled with morning sun and leads onto a further communal garden which has side access from the street.The property is well located, just a short walk from Highbury Barn and Upper Street which host an array of boutique shops, delicatessen, bars and restaurants. Furthermore, the property is well located for the vast open lush green spaces found at Highbury Fields and Clissold Park. There are numerous transport links including a short 0.6 mile walk to Highbury & Islington station, Arsenal tube and Canonbury overland station as well as excellent bus links (4,19, 236) at the end of the road.",Ask agent,"Aberdeen Road, London, N5",,,,
,"£3,650 pcm",,"SHORT LET, BILLS INCLUDED!Fantastic two bedroom garden flat, situated close to the parks of Wandsworth Common.A rare opportunity to rent this truly wonderful home situated in Clapham and is within walking distance to Clapham South and Clapham Junction stations.This spacious apartment is set over the ground and lower ground floors of this period property and comprises of two double bedrooms, the master with en- suite and a walk in wardrobe. There is a stylish fully fitted kitchen juxtaposed to a bright dining room with patio doors opening out to the private decked and lawned, South-West facing garden. The front reception room offers a wealth of living space. Further benefits from a second bedroom with built in wardrobes, modern bathroom and a wonderful summer house with generous space for entertainment.Montholme Road is a quiet residential street minutes away from Northcote And Bellevue’s popular parades provide many specialist shops and numerous popular cafes, bars and restaurants.Wandsworth Common and Clapham Junction stations are close by. The flat is also well located for a number of good state and private schools.Depoist: £2,000Council tax band: D","Furnished or unfurnished, landlord is flexible","Montholme Road, Wandsworth Common, Clapham, London, SW11",,,,
,"£3,358 pcm",,"A collection of 8 stylish, newly refurbished apartments Let and Managed by Dexters.  All of the units have beautiful limed-oak parquet   flooring, stylish 'art deco style' bathrooms and brand new 'industrial' style double glazed windows.This impressive former warehouse conversion is quietly tucked away between Farringdon Road and Hatton Garden and enjoys excellent transport links and easy access to a wide variety of local shops, supermarkets and cafes.BrochuresBrochure 1","Furnished or unfurnished, landlord is flexible","Lily Place, Clerkenwell",,,,
,"£3,683 pcm",,"A double bedroom apartment in the desirable Principal Tower. This property has fantastic views of both the City and Canary Wharf, wooden floors throughout, open plan kitchen and a marble bathroom.Principal Tower is in the perfect location located just moments from Liverpool Street Station and Shoreditch High Street Overground, giving you easy access throughout London and close to all amenities.BrochuresBrochure 1",Furnished,"Principal Place, Shoreditch",,,,
,"£1,700 pcm",,"A stylish first floor one bedroom flat to rent. The property is located in central Crouch End minutes from amenities.Whether stopping off for coffee at one of the many cafes or taking the dog for a walk in Alexandra Park, the vitality of Crouch End gives its residents much to be proud of. Food shopping and restaurant options abound, locals are never short of exotic dining options. Packed with attractive architecture, good schools, lively shopping streets and leafy surrounding parks, this pocket of Haringey borough is thriving, and shows no signs of declining in popularity.Offered furnished and available from 5th of  September.",Furnished,Elder Avenue Crouch End N8,,,,
,"£1,750 pcm",,"Oyster properties are delighted to offer 2 bedroom first floor flat, situated in one of North Finchley most desirable roads close to Woodside Park and West Finchley Underground Stations on the Northern Line.The property offers a 2 double bedrooms, a separate reception room,  kitchen/ Diner, Shower Room, gas central heating. EPC Rating: D",Furnished,"Sussex Ring, London, N12",,,,
,"£1,150 pcm",,"A well presented top floor conversion flat to rent in a fantastic location moments from Earlsfield Station. Pay less upfront with a Zero Deposit Guarantee.Holding Deposit:	£265.38 (1 week)*Tenancy Deposit:	£1,326.90 (5 weeks)*Council Tax Band:	B*The deposit amounts are approximate and will vary depending on the final rent agreed.",Furnished,Garratt Lane London SW18,,,,
,"£3,500 pcm",,A lovely four bedroom family house. Well located on a quiet street close to the amenities and links of Fulham Broadway and Parsons Green.BrochuresProperty details,Unfurnished,"Burnthwaite Road London SW6, EPC D",,,,
,"£4,117 pcm",,"Welcome to the epitome of style and modernity - a captivating one-bedroom first-floor apartment that exudes contemporary elegance. Bathed in natural light, this residence boasts high ceilings, creating an airy and spacious atmosphere that you'll instantly fall in love with. Convenience and luxury blend seamlessly at 3 Picton Place, where lift access, a dedicated day porter, and a secure bike storage area add to the allure of this exclusive address.Nestled in the heart of Marylebone, just off the ever-popular James Street, this centrally located haven places you at the center of London's vibrant lifestyle. A short, delightful stroll leads you to the world-renowned Oxford Street, where you can indulge in premier shopping, exquisite dining, and cultural experiences that only the capital can offer.Savor the essence of contemporary living and seize the opportunity to make 3 Picton Place your new home, where every day brings a perfect blend of convenience, comfort, and sophistication. Don't miss the chance to be part of this unparalleled urban oasis that promises an extraordinary living experience.Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (ChestertonsChinaDesk)BrochuresSuper-size images and Full Online Details --- ",Furnished,"Picton Place, 
South Marylebone, W1U",,,,
,"£1,350 pcm",,"A beautiful modern studio apartment set on the second floor of a period conversion and situated moments from Bermondsey Station.  This bright apartment is in excellent condition.Bermondsey is situated on the south bank of the River Thames and is one of the capital's most up and coming areas. The area is on the Jubilee line making Canary Wharf and West London easily accessible. The area has a weekly antiques market on a Friday and is a short walk to Shad Thames & Bermondsey Street which are home to an array of bars and restaurants.Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (ChestertonsChinaDesk)BrochuresSuper-size images and Full Online Details --- ",Furnished,"New Concorde Apartments, 
96 Webster Road, SE16",,,,
,"£1,750 pcm",,"A well proportioned one bedroom flat situated within a purpose built block ""Between the Commons"" and close to Northcote Road. The property benefits from wooden floors throughout and comprises a spacious double bedroom, separate fully fitted kitchen, modern bathroom and bright reception room with doors to a private balcony. There is also access to a large communal garden.Sudbrooke Road is ideally located for the many shops, bars and restaurants of Northcote Road and Bellevue Road whilst being equidistant to Clapham South Underground Station (Northern Line) and Wandsworth Common (BR) Station. The green open spaces of both Wandsworth Common and Clapham Common can also be found within walking distance.Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (ChestertonsChinaDesk)BrochuresSuper-size images and Full Online Details --- ",Unfurnished,"Sudbrooke Road, 
Between the Commons, SW12",,,,
,"£2,500 pcm",,"A charming terraced mews style house in this secure gated development. The property has 2 large double bedrooms and 2 bathrooms, a pretty patio, modern open plan kitchen and a reception room leading to a wonderful roof terrace. Underground Parking.Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (ChestertonsChinaDesk)BrochuresSuper-size images and Full Online Details --- ",Unfurnished,"Marryat Square, 
Wyfold Road, SW6",,,,
,"£1,150 pcm",,"RETIREMENT PROPERTY TO RENT  ** ZERO DEPOSIT AVAILABLE **Direct access to communal gardens! Rarely available is this spacious one bedroom unfurnished apartment on the ground floor of Paxton Court available to those over the age of 60, providing direct access to the developments meticulous communal gardens.Recently redecorated, newly laid carpet and a brand new shower room, this property is perfect for anybody looking to move straight in and unpack in to their new home.Internal accommodation comprises; a welcoming entrance hall with large storage cupboard, spacious lounge with door out on to the communal garden, kitchen with double doors off of the lounge, a very good size bedroom with built in wardrobes and a brand new shower room.Benefits include; Careline system which controls door entry and monitoring of the fire alarms, a CCTV system allowing residents to see who is visiting before allowing them in to the building, secure gated parking, communal lounge and communal laundry room.The development is located next to a row of shops, perfect for essential shopping. Just outside there are bus stops providing access to Eltham, Grove Park, Bromley and other towns with a much bigger variety of shops & supermarkets.Energy Efficiency Rating C.",Unfurnished,Marvels Lane Grove Park SE12,,,,
,"£2,275 pcm",,"A fantastic lateral apartment situated on the fifth floor of this sought after portered building in the very heart of Kensington.Situated on the fifth floor of this sought after portered building, this delightful apartment is presented in neutral tones and boasts excellent levels of natural light, 24/7 porterage as well as lift access. Conveniently situated in the heart of Kensington, this property is perfectly located to the various amenities and transport links of Kensington High Street and Earls Court (Circle, District, Piccadilly lines).Sir Winston Churchill, T. S. Eliot and Virginia Woolf have all called it home, and with its red-brick mansion blocks, Georgian townhouses and luxury modern developments, Kensington is one of London’s most exclusive districts.This prosperous neighbourhood has plenty of sophisticated bars and upmarket dining venues, along with world-class entertainment at The Royal Albert Hall, a spectacular venue for classical and contemporary performances alike.Kensington High Street features many well-known stores, while a trip down Kensington Church Street reveals some speciality retailers. If you’re looking for green space, you can find it at the 265-acre Kensington Gardens, home to impressive sculptures, monuments and fountains.Local schools include St Mary Abbots, Fox, Kensington Primary Academy, St Barnabas and St Philip’s, The Cardinal Vaughan Memorial and the Lycée Français Charles de Gaulle de Londres.A treasure trove of knowledge is on your doorstep at the world-renowned Natural History Museum, which attracts around five million visitors every year, as well as at the nearby Science and Victoria and Albert Museums.Transport-wise, High Street Kensington, Gloucester Road and South Kensington Underground stations together give you access to the District, Circle and Piccadilly lines.BrochuresParticulars",Part furnished,"Pembroke Road, Kensington, London, W8",,,,
,"£1,950 pcm",,"***Spacious 10th Floor 1 Bedroom Furnished Apartment with a West Facing Balcony***Situated in the popular Capital East Phase ii development is this 10th floor 1 bedroom furnished apartment. The apartment benfits from having a west facing aspect and balcony with a fantastic view of the River Thames with the 02 and Canary Wharf in the distance, A large lving room, double bedroom with access to the balcony, a fitted kitchen, a modern bathroom, residents gym and a 24 hour concierge. Royal victoria DLR station is located a within a 2 minute walk with Custom House Elizabeth line within a 5 minute walk. A parking space is available at an addittional rent.The property has an EPC Rating: B. Rent excludes the tenancy deposit and any other permitted payments. A Holding Deposit of £450.00, based on the advertised rent is required to reserve this property. Min Term 1 year. Deposit payable is £2250.00 or this property is available with our No Deposit Option. Please contact us for further information or visit our website.",Furnished,"Alaska Apartments, Western Gateway, E16 1BW",,,,
,"£3,683 pcm",,"This smart first floor period conversion property boasts high ceilings throughout and pleasant views across to Warwick square and French windows that open onto a small balcony. The accommodation comprises a spacious living/reception room, with sofa bed, kitchen and dining area. Large bedroom with king size bed. Bills are included.Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (ChestertonsChinaDesk)BrochuresSuper-size images and Full Online Details --- ",Ask agent,"Denbigh Street, 
Pimlico, SW1V",,,,
,"£2,383 pcm",,"SHO International Property presents: Situated above Warren Street Station, this 3rd-floor gem spans over 380 sqft and boasts breathtaking views of Warren Street, Euston Road, and the iconic BT tower. The studio is thoughtfully designed to maximise both comfort and functionality, with ample room for relaxation, work, and entertainment. Enjoy the convenience of a fully furnished property, meticulously curated to create a welcoming and stylish ambiance. Ample storage space ensures that your belongings are neatly organised, maintaining an uncluttered and serene environment. The separate kitchen is a culinary enthusiast's delight, fully equipped with modern appliances. Whip up delicious meals while enjoying the convenience of a well-appointed space designed to inspire your culinary creativity. Immerse yourself in the vibrant heartbeat of London, with a location that offers unparalleled connectivity. Warren Street Underground Station, serving the Victoria and Northern lines, is conveniently located just moments away. Euston Square Station, catering to the Hammersmith & City, Metropolitan, and Circle lines, as well as Euston Station for Overground and National Rail connections, are also within easy reach. Exploring the city has never been easier. This exceptional property is available for immediate occupancy. Don't miss the opportunity to make it your own. Contact us today to arrange a viewing and embark on a new chapter of Central London living. Enquire now for viewing!",Furnished,"Warren Court, Euston Road, London, NW1",,,,
,"£3,500 pcm",,"A two bedroom ground floor apartment to rent in West Ealing part of a brand new development. Finished to a high standard and flexible on furniture, this property is a must see! Available now.Features include underfloor heating, Bluetooth ceiling speakers, wooden flooring to hallways  and living rooms, Cycle storage facilities, CCTV security system for external and communal areas, Video entry system and fob access.Closely located to West Ealing Rail station and easily accessible to all the shopping, cafés, restaurants and nightlife that Ealing has to offer.",Furnished,Berwick Close London W13,,,,
,"£3,600 pcm",,"Spectacular four bedroom mid terraced Victorian residence which retains a wealth of original period features.  The property is set over three floors and boasts a high level of specification throughout featuring a spectacular 18’9 x 15’9 kitchen/diner with modern double glazed concertina doors leading out to a sunny westerly facing garden.  Situated within moments’ walk of Alexandra Park, Palace and its main line station providing easy access to the City (Moorgate and Old Street).  Within favourable distance of Heartlands secondary and Campsbourne primary schools.Having undergone complete renovation is an absolutely spectacular four bedroom mid terraced Victorian residence which retains a wealth of original period features.  The property is set over three floors and boasts a high level of specification throughout featuring a spectacular 18’9 x 15’9 kitchen/diner with modern double glazed concertina doors leading out to a sunny westerly facing garden.  Situated within moments’ walk of Alexandra Park, Palace and its main line station providing easy access to the City (Moorgate and Old Street).  Within favourable distance of Heartlands secondary and Campsbourne primary schools.5 Week Security Deposit: £4,150.00",Part furnished,"Dagmar Road, Alexandra Park, N22",,,,
,"£1,200 pcm",,"Available from 21st September is this purpose built studio flat which is available to rent in West Ham, London, E15. The property benefits from security entryphone system, a spacious lounge / bedroom area with fitted wardrobes, a fitted kitchen and three piece bathroom suite with shower over the bath. Ideally located, the property offers superb access to West Ham station which offers fantastic links via into Canary Wharf, Stratford and the city, via Jubilee, DLR District and Hammersmith and City lines.  Maximum occupancy rules apply as per the property licence and subject to a minimum 12 month AST.",Ask agent,"Alan Hocken Way, West Ham, E15",,,,
,"£1,850 pcm",,"Presenting to the market a two double bedroom apartment within this quiet modern gated development on Garratt Lane in Earlsfield. The property is located within a 5-minute walk to the mainline station. Comprising two double bedrooms both with access to a private balcony, a modern bathroom suite and an open plan kitchen/reception/dining room. Available on the 15th September 2023. There are bike racks at the rear of the property. EPC rating B. Council Tax band DBrochuresGarratt Lane Earlsfield LondonBrochure",Furnished,Garratt Lane Earlsfield London,,,,
,"£3,500 pcm",,"A two bedroom apartment to rent in West Ealing part of a brand new development. Finished to a high standard and flexible on furniture, this property is a must see!Features include underfloor heating, Bluetooth ceiling speakers, wooden flooring to hallways  and living rooms, Cycle storage facilities, CCTV security system for external and communal areas, Video entry system and fob access.Closely located to West Ealing Rail station and easily accessible to all the shopping, cafés, restaurants and nightlife that Ealing has to offer.",Furnished,Berwick Close London W13,,,,
,"£1,850 pcm",,"A stunning two bedroom apartment conveniently located within a few minutes walk of Ealing Common Underground Station (Piccadilly and District lines) The property has a very large hallway, light reception room with full height bay window, large double bedroom, second bedroom, fully fitted kitchen and bathroom. Further benefits include a large communal rear garden. The EPC is Band D. The Council Tax is Band E.BrochuresWeb Details",Ask agent,"Inglis Court, Ealing, London, W5",,,,
,"£3,358 pcm",,"A ONE BEDROOM/SUITE APARTMENT FOR RENT WITHIN REGAL LONDONS MOST EXCLUSIVE ""ONE ST JOHNS WOOD"" DEVELOPMENT IN THE HEART OF NW8.ONE ST JOHNS WOOD is unarguably a level above anything built in this location and residents enjoy facilities in the Regent Spa located in the basement such as the stunning 20 meter pool, 2 separate plunge pools,  sauna, steam room and state of the art gym. Other facilities include the Club lounge, private dining rooms, communal roof gardens with views over London, 24 hour concierge as well as a cinema This suite is designed to offer maximum space and privacy with a separate lounge area, fitted kitchen with ""Miele"" appliances, ample built in storage, separate bedroom area and a natural stone bathroom with bespoke furniture and aqua vision tv. This apartment has its own private balcony. Comes furnished. PROPERTY AVAILABLE FROM NOW.Residents Pool - Reception - Reception - Bedroom - Reception - Bedroom - Bathroom - Entrance - Balcony - Residents Gym - Residents Cinema - View From Balcony - One St Johns Wood - Reception Room - Residents Gym - Entrance Lobby - Roof Terrace - Club Lounge - One St Johns Wood - Residents Pool - BrochuresOne St Johns Wood, 60 St. Johns Wood Road, LondonBrochure",Furnished,"One St Johns Wood, 60 St. Johns Wood Road, London",,,,
,"£3,250 pcm",,"This 2 double bedroom apartment is set over the 3rd and 4th floor (walk-up) of this period building situated on Great Portland Street.This bright and spacious maisonette of over 900sqf, comprises of hallway leading to cloakroom/W.C., kitchen/breakfast room with appliances, spacious living room (16' 5 x 14' 4) with decorative original fireplace, stairs leading to 4th floor landing with storage and access to the main bathroom and the 2 bedrooms.The property has gas central heating and is partially double glazed.  Wooden floors & tiled on the 3rd floor.Great Portland Street has a range of local amenities and is a short walk to Great Portland Street & Oxford Circus Underground stations and to the green space of Regents Park.Please ask for more information on other fees that may apply or visit our website. RIB is a member of the Propertymark Client Money Protection scheme and The Property Ombudsmen redress scheme.A Deposit equivalent to 5 times the weekly rent for annual rent up to £50,000 and 6 times the weekly rent for annual rent over £50,000 (cleared funds only) will be required to be held for the entire length of the tenancy. In addition to the rent the Tenant will be responsible for all utility costs including gas, electricity, water, council tax, TV licence, telephone, internet and any other facility provided that is not included in the rent or otherwise agreed and stated in the tenancy agreement.BrochuresParticulars",Furnished,"Great Portland Street, Fitzrovia, London, W1W",,,,
,"£3,200 pcm",,"We are delighted to present this stunning, newly build detached house located in West Hampstead area. The house is completed to exceptional standard throughout and offers wealth of entertaining space with spacious open plan reception room with modern fully fitted kitchen, two generous size bedrooms, two bathrooms and private patio garden. The property also benefits from air condition system. Viewings highly recommended!BrochuresMill Lane, London, NW6 ",Ask agent,"Mill Lane, London, NW6",,,,
,"£1,950 pcm",,"A lovely and spacious two double bedroom property set on the first floor of a beautiful period conversion on one of the premier roads in Crouch End. The property has two good size double bedrooms, a modern separate kitchen, fully tiled bathroom, private large balcony off one of the bedroom, built in wardrobes, lots of storage and really bright and airy.",Ask agent,"Christchurch Road, Crouch End N8",,,,
,"£3,199 pcm",,**Double Room Available/ Lovely Flat Share**    ,Furnished,"Westferry Road, London",,,,
,"£1,750 pcm",,"A spacious ground floor period maisonette on this quiet residential road in Earlsfield. The property offers a spacious front aspect reception room, one double bedroom with fitted wardrobes, fully fitted kitchen / breakfast room, shower room with W.C and lovely private garden. The property is ideally located for both the Mainline Station and Tube. It is available on the 8th September 2023 and offered Furnished. EPC rating: C. Council Tax Band CBrochuresBodmin Street Earlsfield LondonBrochure",Furnished,Bodmin Street Earlsfield London,,,,
,"£2,350 pcm",,"A beautifully presented 2 bedroom ground floor maisonette benefitting from a modern kitchen with built in appliances, underfloor heating, good sized lounge opening out onto a patio area in the well kept private garden. Located only 0.2 miles from the local shops and amenities of Friern Barnet and 1 mile from New Southgate rail station which provides services directly into the heart of London.Available from 1st September. Offered unfurnished.",Unfurnished," Friern Barnet, N11",,,,
,"£1,595 pcm",,"Spacious Live/Work unit in the popular Oslo House in Hackney Wick. DescriptionThe property comprises of an open-plan living area, a new bathroom and a separated sleeping area, making it an ideal space to live and work.LocationOslo House is a popular warehouse conversion, ideally located for shopping and transport links with Hackney Wick station across the road, offering quick links to Stratford for the Central line and Highbury and Islington for the Victoria line, along with the plethora of shops and restaurants at Westfield Stratford less than a mile from Wallis Road.Square Footage: 507 sq ft  Additional InfoHolding Deposit: £368.08 (1 week)Deposit Payable: £1,840.38 (5 weeks)Minimum Term: 12 months    Rent must be paid monthly in advanceBrochuresWeb Details","Furnished or unfurnished, landlord is flexible","Oslo House, 15 Prince  Edward Road, Hackney Wick, London, E9",,,,
,"£2,800 pcm",,"  Stunning two double bedroom flat to rent within this sought after development comprising two double bedrooms, kitchen, open plan reception, modern bathroom suite, 24hr concierge and gym. The large lateral apartment offers excellent light, double glazed windows & fully tiled bathroom. The open plan reception benefits from integrated appliances with dishwasher.Sought after Carronade Court development ideally situated close to Holloway tube plus a short walk Highbury & Islington tube.The water rates are included in the Rent ",Ask agent,"Eden Grove, Holloway, London",,,,
,"£2,167 pcm",,"Warren Court, Euston Road, NW1LONG LET- This is a modern and well-equipped studio property situated in a purpose built block above Warren Street Station. Lift access. The property comprises a fully equipped separate kitchen, wooden floors throughout and a contemporary fitted bathroom. The property is also within easy reach of transport links of Euston Square Station and the amenities of the West End as well as the famous Regent's Park.Available 25.09.23. Semi-furnished. Extra £18 per week for gas. Contact us today to not miss out!",Part furnished,"Warren Court, Euston Road, NW1",,,,
,"£2,400 pcm",,"AP Living London are pleased to present this stylish split-level studio apartment located in the heart of Camden Town. The apartment comprises of a modern kitchen, spacious living area with large windows, bathroom and an upper-level double bedroom area, complete with a large storage cupboard. Located only moments away from Camden Market, Regents Canal and Camden Town station, this is the perfect place to stay, providing access to all bars, restaurants and shops Camden has to offer, with great transport links to the west-end and City. London Zoo and Regent's Park are only a bus journey away. All Bills IncludedShort-Lets AcceptedFully Furnished ",Furnished,"194 Arlington Road, Camden Town, London, NW1",,,,
,"£2,925 pcm",,"Set on the second floor, above picturesque communal grounds and looking over this wide section of the River Thames, the apartment extends to an impressive 954 sq ft of well proportioned living and entertaining space, with a large balcony off the Reception. The apartment offers a wonderful West facing aspect from each principal room with far reaching views across the Thames taking in the wonderful Canary Wharf skyline in the distance. A good sized open-plan style reception room, ideal for entertaining, has a modern fully fitted kitchen, and floor to ceiling windows opening to a large balcony with exquisite views. Two generously sized bedrooms overlook the Thames, with the principal bedroom suite incorporating two fitted wardrobes and a access to a large en-suite bathroom. A further family bathroom and storage cupboard are found off a welcoming hallway leading to this wonderfully bright and spacious apartment.Free Trade Wharf rests on the banks of the Thames Path ideally located adjacent King Edward Memorial Park. The building offers 24 hour concierge, secure parking, gym and leisure facilities (inc pool & sauna). Transport Links are available from Limehouse DLR (0.4mi) connecting Canary Wharf, Bank, Tower Hill and Fenchurch Street in very few stops, as well as nearby Wapping overground and Shadwell DLR/overground stations.BrochuresMore Details",Unfurnished,"Free Trade Wharf, 340 The Highway, Wapping, London, E1W",,,,
,£910 pcm,,"  Located on Raveley Street NW5, we offer you this double room, which comprises of double bed, wardrobe, chest of drawers, wash basin, cooker and under counter fridge / freezer, there are a number of shared shower rooms and bathrooms. The flat is a 3 min walk to Tufnell Park Tube Station. GAS & WATER IS INCLUDED IN THE RENTAL PRICE.SUITABLE FOR A SINGLE PERSON ONLY Council Tax : Band A £1266.78 (you can apply for a 25% single occupancy discount directly via the council)Contract Length: 12 month  Council tax is approx £15.00 per week   Electric is approx £20.00 per month   ",Furnished,6-8 Raveley Street,,,,
,"£2,500 pcm",,"AP Living London are pleased to present this fully furnished lower ground studio apartment in a private residential building, located a short walk from Warren Street, Euston and Euston Square stations. The apartment has been finished to a very high standard and benefits from a private patio area. It features a modern kitchen with fitted appliances and fully tiled shower room. All furniture, utensils and bills are included. Netley Street is located within close proximity to both Warren Street underground station which serves the Northern and Victoria lines, Euston station which has overground and underground connections as well as variety of bus routes. You are within 15 minutes’ walk of St Pancras and its Eurostar Terminal, and neighbouring Kings Cross Station. University College London’s Bloomsbury Campus is a 5-minute walk away and the British Museum is less than a mile from the studio. Dominion Theatre is 0.8 miles from the apartment, while Oxford Street is 0.9 miles from the property with plenty of buses stop close to take you by and stop at Oxford Street, Hyde Park and around Covent Garden. Just 0.9 miles from Regents Park and 1 miles from London Zoo. 1.4 miles from Madame Tussauds. The nearest airport is London City Airport, 9.9 miles the Apartment. All Bills includedWifi IncludedTV Included",Furnished,"Netley Street, London, NW1",,,,
,"£4,000 pcm",,"AP Living London are pleased to present a newly refurbished four bedroom, two bathroom apartment in Hillside Court, Finchley. This apartment is located on the first floor and comprises of four double bedrooms, two bathrooms, living room, kitchen with integrated appliances and storage in the hallway. The primary bedroom benefits from ample storage, an en-suite and private balcony. Lots of large windows flood the property with plenty of natural light, and secondary glazing has been installed for optimal noise-cancellation and heat-retention. Residents of Hillside Court have lift access, a day porter and communal gardens at the back of the building. The building is ideally located a short walk from Finchley & Frognal Overground station and Finchley Road, served by the Jubilee and Metropolitan Lines. The flat is also within a close proximity to Hampstead and West Hampstead and all the amenities they provide. Newly Refurbished. Council tax: Camden F5 weeks deposit",Furnished,"Hillside Court, 409 Finchley Road, London, NW3",,,,
