title,description,Deposit,Rent PCM,Bills Included,Broadband,Student Friendly,Families Allowed,Pets Allowed,Smokers Allowed, DSS/LHA Covers Rent  ,Available From,Minimum Tenancy, Online Viewings      ,Garden,Parking,Fireplace,Furnishing,EPC Rating,station_distances, DSS Income Accepted  ,Maximum Tenancy,Students Only,EPC Not Required
"Room in a Shared Flat, Heneage Street, E1"," DOUBLE ROOM IN THE HEART OF BRICK LANEREF: Philip C - ASAP*****ROOM ONLY*****SINGLE USEE1 5LJThis Amazing 3 bed Apartment is located in Liverpool St . it has 3 spacious double rooms available. The property has been refurbished with modern kitchen and bath. Itâs a 3 bed 1 bath property. perfect for professionals and students! (SINGLE USE ONLY)âBILLS INCLUDE: gas, water, heating, electricity, wifi       and cleaningâfew minutes walking to Liverpool st station and     Shoreditch High st station.âvariety of shops, restaurants, parks walking distance    from the propertyâ24/7 maintenance team availableâWeekly cleaning serviceâFurnished rooms and refurbished kitchen & bathð² If you are interested in more information on this property or want to book a viewing please contact me. I have more properties in the area          Tenant Requirements:-keep the room neat and tidy-respect other tenants-pay rent on time- Sergi                            ","£1,100.00","£1,100.00",No,             View Offers         ,No,No,No,No,No,Today,8 Months,No,No,No,No,Furnished,,"[['                                        Aldgate East                                    ', '                                        8 minute walk                                    '], ['                                        Shoreditch High Street                                    ', '                                        10 minute walk                                    '], ['                                        Whitechapel                                    ', '                                        11 minute walk                                    '], ['                                        Aldgate                                    ', '                                        11 minute walk                                    ']]",,,,Shared Accommodation
"2 Bed Flat, Alexandra Court, W9","                                I am pleased to offer this is a newly refurbished modern property that consists of a spacious living room as well as a beautiful kitchen, two bathrooms and 2 spacious bedrooms, one being an ensuite room. The building has a secure entrance that has CCTV in operation. In addition, there is a third floor with a porter.LocationIt is only a minuteâs walking distance from local bus stops and Maida Vale, Warwick Avenue and St. John's Wood Underground Station.Perfect for students or professional alike.Please contact me now to arrange a viewing!!                            ","£3,874.99","£3,358.33",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,C,"[['                                        Warwick Avenue                                    ', '                                        6 minute walk                                    '], ['                                        Maida Vale                                    ', '                                        10 minute walk                                    '], ['                                        Edgware Road (Bakerloo)                                    ', '                                        12 minute walk                                    '], ['                                        Paddington (Hammersmith & City)                                    ', '                                        15 minute walk                                    ']]",,,,
"3 Bed Flat, Rodney Court, W9","                                MANSION BLOC A LOVELY LARGE 3 BEDROOMS, MANSION BLOCK APARTMENT, MAIDA VALE, PADDINGTON, LITTLE VINECE. WALKIG DISTANCE TO LONDON BUSSNESS SCHOOL, LORDS CRICKETS, REGENT PARK.  For Viewing:IT HAS 11 TUBE STATIONS NEAR BY:Public transportMetro  Warwick Avenue - 0.3 kmMetro  Maida Vale - 0.3 kmMetro  Royal Oak - 0.8 kmMetro  Westbourne Park - 0.8 kmMetro  Kilburn Park - 1 kmMetro  Paddington (H&C) - 1 kmMetro  St John's Wood - 1.2 kmMetro  Queen's Park - 1.2 kmMetro SWISS COTTAGE - 1.3 KmMetro EDGEWARE ROAD - 1.2 KmMetro  Kilburn Park  - 1.1 KMTop attractionsPaddington Station - 1.4 km  Piccadilly Circus - 4.2 km  Buckingham Palace - 4.3 km Trafalgar Square - 4.7 km Big Ben - 5.3 km Houses of Parliament - 5.3 kmLondon Eye - 5.5 kmWembley Stadium - 7.1 kmTower of London - 8.1 kmO2 Arena - 13.6 km                            ","£2,007.69","£4,350.00",No,             View Offers         ,No,No,No,No,No,"28 July, 2023",3 Months,No,No,No,No,Furnished,C,"[['                                        Warwick Avenue                                    ', '                                        7 minute walk                                    '], ['                                        Maida Vale                                    ', '                                        9 minute walk                                    '], ['                                        Edgware Road (Bakerloo)                                    ', '                                        12 minute walk                                    '], ['                                        Paddington (Hammersmith & City)                                    ', '                                        16 minute walk                                    ']]",,24 Months,,
"1 Bed Flat, Roland Gardens, SW7"," Exquisite One-Bedroom Flat in South Kensington, Recently RefurbishedDiscover a meticulously adorned one-bedroom flat, tastefully refurbished and ideally situated in the vibrant heart of South Kensington. Located on the second floor, this residence boasts a spacious entrance hall with a convenient utility room, a charming living room accompanied by a separate fully equipped kitchen, an elegant bathroom, and a generously sized double bedroom. This tranquil abode provides an idyllic retreat with a serene courtyard view, ideally suited for couples, professionals, or students seeking a peaceful living environment. The prime location also offers easy access to South Kensington and Gloucester Road within a mere 10-minute stroll. ","£2,942.30","£2,550.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,No,No,No,No,Unfurnished,Currently Being Obtained,"[['                                        Gloucester Road                                    ', '                                        7 minute walk                                    '], ['                                        South Kensington                                    ', '                                        8 minute walk                                    '], [""                                        Earl's Court                                    "", '                                        14 minute walk                                    '], ['                                        West Brompton                                    ', '                                        15 minute walk                                    ']]",,,,
"1 Bed Flat, Jamaica Road, SE16","                                Bright, stylish and clean apartment is located in a secure quiet block of flats, close to Tower Bridge and the iconic Bermondsey Street (home to some highly rated bars and restaurants as well as modern galleries). 4 minutes walk away from the river Thames and Shad Thames, a place offering another set of river side restaurants and bars.The contemporary apartment is fully furnished and features a large living room and one bedroom with a queen size bed and a large wardrobe.Note: council tax, water, WiFi bills are included, electric bill is NOT INCLUDED                            ","£2,600.00","£2,600.00",No,             View Offers         ,No,No,No,No,,Today,2 Months,No,No,No,No,Furnished,B,"[['                                        Bermondsey                                    ', '                                        5 minute walk                                    '], ['                                        Rotherhithe                                    ', '                                        18 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        23 minute walk                                    '], ['                                        Tower Gateway                                    ', '                                        25 minute walk                                    ']]",No,,,
"1 Bed Flat, Argyll Mansions, SW3","                                An opulent fully furnished one bedroom apartment on the second floor of this portered Grade II listed building on the famous Kings Road in Chelsea sitting directly opposite to the renowned Blue Bird restaurant. The apartment has been completely refurbished to exacting standards.Key aspectsâ¢ Fully furnished.â¢ Fully refurbished throughout including new Kitchen and bathroom suites with Underfloor heating in bathroom.â¢ Integrated LED mood lighting with Bluetooth.â¢ New Wifi enabled appliances including boiler.â¢ USB enabled power sockets.â¢ Integrated Instant Hot water faucet with fresh water filter.â¢ Fully Restored original sash windows throughout.â¢ Communal residents car parking / garden space to the rear of the building.â¢ Portered building.The King's Road offers a wide variety of international shops, bars and restaurants as well as the world famous Saatchi Gallery. The nearest underground station is Sloane Square (Circle & District line).Additional InformationLocal Authority: RBKCCouncil Tax: Band F                            ","£5,307.69","£4,600.00",No,             View Offers         ,No,No,No,No,No,Today,1 Months,No,No,No,No,At tenant choice,C,"[['                                        South Kensington                                    ', '                                        16 minute walk                                    '], ['                                        Gloucester Road                                    ', '                                        17 minute walk                                    '], ['                                        Imperial Wharf                                    ', '                                        18 minute walk                                    '], ['                                        Sloane Square                                    ', '                                        20 minute walk                                    ']]",,6 Months,,
"3 Bed Terraced House, Inverness Mews, W2","                                AVAILABLE FOR SHORT TERM LET - ALL BILLS INCLUDED - MINIMUM TERM 1 MONTHSThis stunning 3 bedroom Mews House spread over 3 levels is perfectly equipped to accommodate up to 6 people with 3 bedrooms and 3.5 bathrooms. The home is divided into 3 levels. On the top level the open plan living, kitchen and dining area, flooded with natural light from the sky lights and windows provides lots of space for our guests The kitchen is fully equipped with all the necessary electric appliances such as electric kettle, toaster, Nespresso Coffee machine, oven, microwave, gas hob, fridge/freezer, dishwasher, plus all the necessary kitchenware -from pots and pans to cutlery and utensils - to prepare your meals. Youâll also find a 55-inch Smart TV with access to the internet so you can sit back and enjoy some quiet time in the serenity the home has to offer.On the middle level you find the exclusive master bedroom with ensuite bathroom including bath & shower , 50-inch Smart TV and built in wardrobes with additional storage space. This level also has an additional service bathroom with sink and toilet.The ground floor is where you will find the entrance to the house. As you step in thereâs an entrance cupboard where you can leave your overgarments & shoes before you head off into the house. Moving along the corridor you will find the additional 2 double bedrooms of which one has an en-suite bathroom and additional Smart TV. This floor also has an additional family bathroom and utility room where you will find the washing machine, tumble dryer, iron, ironing board and drying rack.Please note that for safety and security reasons for our guests a CCTV camera has been placed outside the entrance door.Additional attributes:* super fast WIFI, underfloor heating & air conditioning throughout* 3 King Beds* 3 Smart TV's* Fresh bed linen, towels and bathroom essentials* Extra cleaning services available upon request* Fully equipped kitchen* Laundry facilities* Baby amenities can be available upon request. Please enquire before booking* There is no lift in the property.The monthly rental is Â£10,000 per calendar monthThe closest tube stations are Bayswater and Queensway just a short 5-minute walk in addition to the numerous bus routes situates minutes away taking you to all of Londonâs greatest attractions! The house sits just a few minutes away from the vibrant Queensway and Westbourne Grove with a plethora of trendy restaurants, cafÃ©s and bakeries as well as supermarkets for your daily needs. Also headed in the opposite direction youâre only a 12 minute walk to Notting Hill one of Londonâs most popular areas!                            ","£3,846.00","£8,333.00",No,             View Offers         ,No,No,No,No,,"10 August, 2023",1 Months,,No,No,No,Furnished,C,"[['                                        Bayswater                                    ', '                                        2 minute walk                                    '], ['                                        Queensway                                    ', '                                        4 minute walk                                    '], ['                                        Royal Oak                                    ', '                                        12 minute walk                                    '], ['                                        Notting Hill Gate                                    ', '                                        12 minute walk                                    ']]",No,,,
"Room in a Shared House, Linton Street, N1",                                Â£2500 Large studio room on top of beautiful London Goargina town house Bath in the room Separate large shower bathroom Own private Roof terrace with spectacular view of London skyline Beautiful sun rise sunsets Large glass window overlooking garden Totally your own quite space See photos .Large share kitchen social lounge area on lower ground floor .Zone 1 Everything in central London close Great transport links busses metro main stations This is one is of 3 options in the house .Others room1 bedsit room shared bathroom Â£20001 small double shared bathroom Â£1350                            ,£600.00,"£2,200.00",No,             View Offers         ,No,No,No,No,No,Today,4 Months,,No,No,No,Furnished,,"[['                                        Essex Road                                    ', '                                        7 minute walk                                    '], ['                                        Old Street                                    ', '                                        17 minute walk                                    '], ['                                        Old Street                                    ', '                                        17 minute walk                                    '], ['                                        Haggerston                                    ', '                                        19 minute walk                                    ']]",,36 Months,,Shared Accommodation
"1 Bed Flat, Chaucer Drive, SE1"," Flat near the Tesco on the Old Kent Road. The third, top flor. Furnished, clean, comfortable. Next to Tesco, bus stop to Elephant Castle and Tower bridge. The apartment has everything you need, you don't need to worry. We even installed a toilet jet for your convenience. Come and see yourself! ","£1,961.53","£1,700.00",No,             View Offers         ,No,No,No,No,No,"01 August, 2023",12 Months,,No,No,No,Furnished,D,"[['                                        South Bermondsey                                    ', '                                        18 minute walk                                    '], ['                                        Bermondsey                                    ', '                                        19 minute walk                                    '], ['                                        Borough                                    ', '                                        26 minute walk                                    '], ['                                        London Bridge                                    ', '                                        26 minute walk                                    ']]",,,,
"Studio Flat, St John's Wood High Street, NW8"," Studio flat on St John's Wood High Street  Newly renovated Self-contained Affordable, high quality Sought after Central London locationFull descriptionThis bright non-smoking studio flat has been newly renovated and re-furnished. It has solid wood flooring; en-suite shower room and toilet; hidden kitchenette; double sized daybed/sofa; free Wi-Fi and communal laundry room. Rent includes utility bills (heating, water, gas and electric) but excludes Council Tax (Band D).The flat is located on St John's Wood High Street and is less than 3 minutes walk to St Johnâs Wood Underground Station (Jubilee Line, Zone 2) which is perfect for the City, West End and Canary Wharf and links with Bond Street in just five minutes.There are several local bus routes connecting in all directions, including the 13 (to Aldwych), the 82 (to Victoria), the 139 (to Waterloo) and the 274 (to Islington). There are also two night buses, the N13 and the N113.The property benefits from the services of nearby restaurants, bars, pubs, shops, Regent's Park and Lord's Cricket Ground. It is within a few minutes walk of The Wellington and St John and St Elizabeth Hospitals and is conveniently located for the London Business School, the American School and the French LycÃ©e.The property would suit a mature student or young professional. ","£1,096.00","£1,400.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,D,"[[""                                        St. John's Wood                                    "", '                                        5 minute walk                                    '], ['                                        South Hampstead                                    ', '                                        16 minute walk                                    '], ['                                        Swiss Cottage                                    ', '                                        17 minute walk                                    '], ['                                        Maida Vale                                    ', '                                        18 minute walk                                    ']]",,,,
"Room in a Shared Flat, Orsett Terrace, W2","                                The property is located in a great central location in Bayswater/Paddington. Very close to all local amenities, shops, transport links.It is apx 5 min walk to Royal Oak station, 8 min walk to Bayswater/Queensway and Paddington stations.The property comes furnished with a fully equipped kitchen, bathroom with a bathtub and a separate toilet.It is located in a secure building with a porter on the ground floor.Rent includes all utility bills and internet.Available now.*please note for a couple the rent will differ                            ",£999.95,£999.95,No,             View Offers         ,No,No,No,No,No,Today,3 Months,,No,No,No,Furnished,,"[['                                        Royal Oak                                    ', '                                        6 minute walk                                    '], ['                                        Bayswater                                    ', '                                        9 minute walk                                    '], ['                                        Paddington (Bakerloo, District and Circle)                                    ', '                                        9 minute walk                                    '], ['                                        Paddington (Hammersmith & City)                                    ', '                                        9 minute walk                                    ']]",,,,Shared Accommodation
"4 Bed Terraced House, Hartland Road, NW1","                                Hartland Road, NW1DATE AVAILABLE: 09/09/2023RENT: Â£1107.69 per week (Â£4800.00 PCM) SECURITY DEPOSIT: Â£5538.46 (5 weeks rent to be registered with My Deposit or TDS) This property consists of the following:4 huge double bedrooms (One room has an en-suite) with one floor is an open plan kitchen lounge (with fireplace). 3 Bathrooms in total with another separate W/C. One garden, one balcony and one roof terrace! Situated right opposite Camden Stables Market. The kitchen is fully fitted with modern appliances, the bathroom is fully tiled and this property has both a bath and a shower. This property is situated on 4 floors including the basement floor.OFFERED FULLY FURNISHEDIDEAL FOR STUDENTS OR YOUNG PROFESSIONALSTransport link:Underground â Camden, Chalk Farm, Kentish Town (Northern Line)Overground â Camden, Kentish Town WestBus â 24, 27, 31, 168, N31, N5, N28Local Amenities: Marks & Spencer, Morrison, Sainsburyâs and Tesco. Local Attractions:Camden Market, The Round House, Regentâs Park, Primrose Hill, Belsize Park, London Zoo, Camden Lock and many moreâ¦Viewings can be arranged anytime Monday to Friday between 9am to 7pm.If you would like to view this property, please confirm what date and time would be suitable for you and we can arrange an appointment for you.                            ","£5,538.46","£4,800.00",No,             View Offers         ,No,No,No,No,No,"09 September, 2023",12 Months,No,No,No,No,Furnished,D,"[['                                        Camden Town                                    ', '                                        6 minute walk                                    '], ['                                        Chalk Farm                                    ', '                                        7 minute walk                                    '], ['                                        Kentish Town West                                    ', '                                        7 minute walk                                    '], ['                                        Camden Road                                    ', '                                        9 minute walk                                    ']]",,,,
"2 Bed Flat, Melina Court, NW8","                                A large two bedroom flat with uninterrupted views across London is available in St. Johnâs  Wood.Key features:Set on the fourth floor of this mansion building is this bright and spacious 2 double bed flat, offering far reaching views of the city.Location is just a 5 min walk from St Johns Wood tube station/high street and 10min walk to LBS. Further, there are bus stops across the street offering a 5min/ 24 hour bus service to the school, ideal on those late evenings!Large well-proportioned rooms and presented in good order, ideal for two people sharing or for a small family.2 Double Bedrooms, 1 Bathroom, Modern Kitchen, Bright Reception. Wooden Floors throughout. Communal heating & Hot Water Included in the Rent.Address is Melina Court, NW8Letting information:Date available: Early August.Rent: Â£2,800 PCM (includes heating & hot water). 5 weeks deposit (refundable).Contract duration: minimum 1 yearOther Utilities such as electricity, water and wifi: Paid by tenantFurnishing: Fully Furnished - Kitchen has a large fridge/freezer, dishwasher, washing machine/dryer. Both bedrooms have fully fitted large wardrobes and double beds. Living room has sofa, 4 seater dining table and cabinets.No agency fees approx. saving of Â£400.Contact: Juliet Parab email:  / Mobile: +447568595861                            ","£3,230.76","£2,800.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,No,No,No,No,Furnished,C,"[[""                                        St. John's Wood                                    "", '                                        9 minute walk                                    '], ['                                        Maida Vale                                    ', '                                        13 minute walk                                    '], ['                                        Warwick Avenue                                    ', '                                        13 minute walk                                    '], ['                                        Edgware Road (Bakerloo)                                    ', '                                        17 minute walk                                    ']]",,,,
"2 Bed Flat, Meranti House, E1","                                This stunning, 9th floor, 2 double bedroom apartment available to rent in Meranti House is part of the new Goodmanâs Fields development. The flat has 2 double bedrooms with en suite bathroom, a bright and airy lounge space leading and a high specification fully fitted kitchen with dishwasher, induction cooker and wine cooler. Further benefits include wooden flooring throughout the halls and lounge, walk in wardrobe space in the main bedrooms and underfloor heating in all bathrooms. This apartment comes with access to the onsite gymnasium, swimming pool and spa, plus 24 hour concierge and private cinema room.                            ","£5,711.53","£4,950.00",No,             View Offers         ,No,No,No,No,No,"01 August, 2023",12 Months,No,No,No,No,At tenant choice,B,"[['                                        Aldgate East                                    ', '                                        4 minute walk                                    '], ['                                        Aldgate                                    ', '                                        8 minute walk                                    '], ['                                        Tower Gateway                                    ', '                                        9 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        12 minute walk                                    ']]",,,,
"1 Bed Flat, Meranti House, E1","                                We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 23 July 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,825.00 per month (Â£651.92 per week)Deposit / Bond is Â£3,259.61Minimum tenancy is 12 monthsMaximum number of tenants is 2                            ","£3,259.61","£2,825.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,C,"[['                                        Aldgate East                                    ', '                                        4 minute walk                                    '], ['                                        Aldgate                                    ', '                                        8 minute walk                                    '], ['                                        Tower Gateway                                    ', '                                        9 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        12 minute walk                                    ']]",,,,
"Room in a Shared House, Torbay Court, NW1","                                We are proud to offer this delightful room in a 4 bedroom, 1 bathroom shared house in a great location.Available to move in from 08 July 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£950.00 per month (Â£219.23 per week)Deposit / Bond is Â£950.00Minimum tenancy is 6 monthsMaximum number of tenants is 6                            ",£950.00,£950.00,No,             View Offers         ,No,No,No,No,,Today,6 Months,,No,No,No,Furnished,,"[['                                        Camden Road                                    ', '                                        6 minute walk                                    '], ['                                        Camden Town                                    ', '                                        8 minute walk                                    '], ['                                        Kentish Town West                                    ', '                                        10 minute walk                                    '], ['                                        Chalk Farm                                    ', '                                        12 minute walk                                    ']]",No,,,Shared Accommodation
"Room in a Shared Flat, St. Rule Street, SW8", Hello  We are pleased to offer this room en-suite in BATTERSREA area.Single use (Â£1500) or double use (Â£1600) REQUIRED 1 MONTH deposit 1 MONTH rent in advance  REFERENCES -3 months last payslips -3 months bank statements - previous UK landlord reference - right to stay in uk   ALSO STUDENTS ACCEPTED WITH 3 MONTHS RENT UPFRONT   6 months minimum stay   Bills included âElectricity âWater âCouncil Tax âInternet â Gas âCleaning Services   Don't hesitate to contact me ,"£1,600.00","£1,600.00",No,             View Offers         ,No,No,No,No,No,"31 July, 2023",6 Months,,No,No,No,Furnished,,"[['                                        Wandsworth Road                                    ', '                                        7 minute walk                                    '], ['                                        Queenstown Road (Battersea)                                    ', '                                        10 minute walk                                    '], ['                                        Battersea Park                                    ', '                                        13 minute walk                                    '], ['                                        Clapham Common                                    ', '                                        17 minute walk                                    ']]",,,,Shared Accommodation
"Room in a Shared Flat, Grenville Place, SW7","                                We are proud to offer this delightful room in a 4 bedroom, 2 bathroom shared flat in a great location.Available to move in from 18 July 2023, this property benefits from garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£1,733.00 per month (Â£399.92 per week)Deposit / Bond is Â£1,999.61Minimum tenancy is 7 monthsMaximum number of tenants is 4                            ","£1,999.61","£1,733.00",No,             View Offers         ,No,No,No,No,No,Today,7 Months,No,No,No,No,Furnished,,"[['                                        Gloucester Road                                    ', '                                        4 minute walk                                    '], [""                                        Earl's Court                                    "", '                                        11 minute walk                                    '], ['                                        South Kensington                                    ', '                                        13 minute walk                                    '], ['                                        High Street Kensington                                    ', '                                        14 minute walk                                    ']]",,,,Shared Accommodation
"4 Bed Penthouse, Grenville Place, SW7","                                We are proud to offer this delightful 4 bedroom, 2 bathroom penthouse in a great location.Available to move in from 08 July 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£7,782.67 per month (Â£1,796.00 per week)Deposit / Bond is Â£8,980.00Minimum tenancy is 6 monthsMaximum number of tenants is 5                            ","£8,980.00","£7,782.67",No,             View Offers         ,No,No,No,No,No,Today,6 Months,No,No,No,No,Furnished,Currently Being Obtained,"[['                                        Gloucester Road                                    ', '                                        4 minute walk                                    '], [""                                        Earl's Court                                    "", '                                        11 minute walk                                    '], ['                                        South Kensington                                    ', '                                        13 minute walk                                    '], ['                                        High Street Kensington                                    ', '                                        14 minute walk                                    ']]",,,,
"Room in a Shared Flat, Cameron House, NW8"," Double room available in 4 bedroom property in St. John's Wood. IDEALLY FOR COUPLE.______________________________________*Please check availability dates before requesting*MAKE SURE to leave WhatsApp number to get in touchAvailable from 1st September.____________________________________â All bills included;â ideally couples (single occupations are welcome too);â looking for young working professionals/High Education Students;â free Wi-Fi;â fully fitted kitchen;â washing machine;â 5th floor in the building (building has an elevator);â 1 bathroom + separated toilet (shared between 4-5 people);â complimentary professional cleaning service once a month;â private maintenance team._____________________________________â Current occupants:3 working professionals - 1 female, 2 males.                            ","£1,400.00","£1,400.00",No,             View Offers         ,No,No,No,No,No,"01 September, 2023",6 Months,No,No,No,No,Furnished,,"[[""                                        St. John's Wood                                    "", '                                        7 minute walk                                    '], ['                                        South Hampstead                                    ', '                                        16 minute walk                                    '], ['                                        Swiss Cottage                                    ', '                                        16 minute walk                                    '], ['                                        London Marylebone                                    ', '                                        21 minute walk                                    ']]",,,,Shared Accommodation
"Room in a Shared Flat, Hoxton Street, N1","                                We are proud to offer this delightful room in a 2 bedroom, 1 bathroom shared flat in a great location.Available to move in from 30 June 2023, this property benefits from available parking. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£1,050.00 per month (Â£242.31 per week)Deposit / Bond is Â£1,050.00Minimum tenancy is 1 monthsMaximum number of tenants is 1                            ","£1,050.00","£1,050.00",No,             View Offers         ,No,No,No,No,No,Today,1 Months,No,No,No,No,Furnished,,"[['                                        Hoxton                                    ', '                                        5 minute walk                                    '], ['                                        Old Street                                    ', '                                        11 minute walk                                    '], ['                                        Old Street                                    ', '                                        11 minute walk                                    '], ['                                        Shoreditch High Street                                    ', '                                        15 minute walk                                    ']]",,6 Months,,Shared Accommodation
"4 Bed Flat, Donnington Court, NW1"," AVAILABLE: 02/09/2023 RENT: Â£1038.46 (Â£4500 pcm) SECURITY DEPOSIT: Â£5192.30 (5 weeks rent registered with My Deposit or TDS)   This property consists of the following:  - 4 Double bedrooms - Spacious lounge - Private balcony - Re-fitted kitchen - Downstairs guest W/C - Neutrally decorated - Offered furnished - Ideal for students or sharers   Transport link: Underground â Camden, Kentish Town  Overground â Camden   Local Amenities:  Marks & Spencer, Morrison, Sainsburyâs and Tesco.    ","£5,192.30","£4,500.00",No,             View Offers         ,No,No,No,No,No,"02 September, 2023",12 Months,No,No,No,No,Furnished,D,"[['                                        Camden Road                                    ', '                                        8 minute walk                                    '], ['                                        Camden Town                                    ', '                                        8 minute walk                                    '], ['                                        Kentish Town West                                    ', '                                        8 minute walk                                    '], ['                                        Chalk Farm                                    ', '                                        12 minute walk                                    ']]",,,,
"Room in a Shared House, Royal College Street, NW1"," Available to rent is a comfortable and secure studio/bedsit in the heart of Camden. Camden Town Station, Camden Road Overground Station, and Kentish Town are all conveniently located nearby. Featuring a kitchenette, wooden flooring and fitted units. The flat comes with complimentary Wi-Fi and all bills are included except council tax (band B).  The building is populated by friendly, professional residents and a peaceful atmosphere permeates the flat.   The property is ideal for working professionals and available to view by appointment.  ",£950.00,£950.00,No,             View Offers         ,No,No,No,No,No,"29 July, 2023",12 Months,,No,No,No,Furnished,,"[['                                        Camden Road                                    ', '                                        4 minute walk                                    '], ['                                        Kentish Town West                                    ', '                                        8 minute walk                                    '], ['                                        Camden Town                                    ', '                                        8 minute walk                                    '], ['                                        Kentish Town                                    ', '                                        9 minute walk                                    ']]",,,,Shared Accommodation
"1 Bed Flat, Sapphire Court, E1","                                Spacious and bright 1 bed flat on a raised ground floor of a well maintained residential block. The flat has a living room which leads out to a residential communal garden. The bedroom has a modern en-suite bathroom. The flat is partly furnished and it is in an ideal location for a professional person working either in Canary Wharf or in the city. Transport connections (London Underground - Towerhill, Aldgate East, Shadwell Overground and Shadwell DLR and buses) is excellent within 5 to 10 mins. walk from the flat. Hyperoptics fibre broadband available. Non-smokers and no pets apply. Immediately available.                            ","£1,849.00","£1,900.00",No,             View Offers         ,No,No,No,No,No,Today,8 Months,,No,No,No,Furnished,C,"[['                                        Tower Gateway                                    ', '                                        8 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        9 minute walk                                    '], ['                                        Aldgate East                                    ', '                                        9 minute walk                                    '], ['                                        Shadwell                                    ', '                                        10 minute walk                                    ']]",,,,
"2 Bed Flat, Sapphire Court, E1"," 2 Bed + 2 Bath - Shadwell/Aldgate - E1We are proud to present, as the managing agent, this well-presented 2-bedroom apartment located in Aldgate East. The apartment boasts a large open-plan reception/dining area, a modern open-plan fully fitted kitchen, 2 double bedrooms (1 with an en-suite), and a contemporary family bathroom.Further benefits include gas central heating, laminate flooring, and a communal garden. The property features natural decor and is available fully furnished. Situated just moments away from Wapping and its green spaces, as well as the tranquil marina of St Katherine's Docks, the property is ideally located on the outskirts of The City. The trendy bars, restaurants, and shops of Spitalfields, Brick Lane, and Shoreditch are all within a short walking distance.Local amenities and sports centres are easily accessible from the property. Liverpool Street, Tower Hill, and Bank are all within brisk walking distance. Aldgate East and Aldgate tube and train stations are just moments away, providing convenient travel options. Private allocated parking is available at an additional cost.                            ","£2,653.84","£2,300.00",No,             View Offers         ,No,No,No,No,No,"08 August, 2023",12 Months,No,No,No,No,Furnished,C,"[['                                        Tower Gateway                                    ', '                                        6 minute walk                                    '], ['                                        Aldgate East                                    ', '                                        8 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        9 minute walk                                    '], ['                                        Shadwell                                    ', '                                        10 minute walk                                    ']]",,,,
"2 Bed Flat, Sugar Lane, SE16"," KEYFEATURES Stunning bright 2-bedroom flat Furnished  Small new build development Stylish contemporary living space throughout Expansive dual aspect living area with balcony Sleek, open-plan kitchen/dining area with fully integrated appliances and wine fridge Fantastic, leafy sought-after location 2 x spacious walk-in shower rooms with heated wall and soft stone shower tray800 Sq Ft plus 22 Sq Ft balcony. Store room Laundry room with washer dryer Dimmable LED lighting Oak floors Underfloor heating throughout A short stroll to an excellent range of riverside bars and restaurantsNEARESTSTATIONS Bermondsey Station (5 minutes walk): Jubilee line (Zone 2) London Bridge Station (15 minutes walk): Northern line & Jubilee line (Zone 1) and Southeastern, Thameslink, & Southern rail services (Zone 1) ","£3,750.00","£3,250.00",No,             View Offers         ,No,No,No,No,No,"08 September, 2023",12 Months,,No,No,No,Furnished,B,"[['                                        Bermondsey                                    ', '                                        6 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        22 minute walk                                    '], ['                                        Tower Gateway                                    ', '                                        24 minute walk                                    '], ['                                        London Fenchurch Street                                    ', '                                        27 minute walk                                    ']]",,,,
